"","breed","parity","kgmilk","cellcount","cowid","InCalf"
"1","Jersey","1",13.2,20,"56700527","1"
"2","Jersey","1",13.7,20,"56700528","0"
"3","Jersey","1",13.9,20,"56700531","1"
"4","Jersey","1",16.7,20,"56700533","0"
"5","Jersey","4",22.8,30,"59000581","0"
"6","Jersey","4",11.8,130,"59000683","1"
"7","Jersey","1",16.2,960,"61910449","0"
"8","Jersey","1",13.2,530,"61910451","1"
"9","Jersey","1",15.2,70,"61910453","1"
"10","Jersey","1",13.8,110,"61910460","1"
"11","Jersey","6",14.8,180,"62950341","1"
"12","Jersey","5",26,300,"62950356","1"
"13","Jersey","3",12.4,1270,"63590395","0"
"14","Holstein-Friesian","1",15,20,"66210685","1"
"15","Jersey","4",12.8,100,"67650531","0"
"16","Jersey","3",21.4,290,"68770581","1"
"17","Jersey","3",23.6,110,"68770582","1"
"18","Jersey","2",10.8,510,"68770583","0"
"19","Jersey","2",7.2,370,"68770584","1"
"20","Jersey","2",18.6,50,"68770589","0"
"21","Jersey","2",18.4,120,"68770590","0"
"22","Jersey","2",9.6,70,"68770591","0"
"23","Jersey","1",10.4,60,"68770594","0"
"24","Jersey","1",12.4,100,"68770596","1"
"25","Jersey","3",15.2,480,"68770600","1"
"26","Jersey","3",15.4,480,"68770601","0"
"27","Jersey","3",20.4,70,"68770602","0"
"28","Jersey","1",9.6,200,"68770605","1"
"29","Jersey","1",12.8,220,"68770606","1"
"30","Jersey","1",15.8,580,"68770607","1"
"31","Jersey","1",14.2,50,"68770610","0"
"32","Jersey","1",16.8,80,"68770612","1"
"33","Jersey","1",15.4,330,"68770622","1"
"34","Jersey","4",12.4,80,"68770673","0"
"35","Jersey","3",13.4,150,"68770677","0"
"36","Jersey","3",15.8,150,"68770679","1"
"37","Holstein-Friesian","4",15.3,1060,"70700486","0"
"38","Friesian","2",8.8,580,"72560450","0"
"39","Friesian","4",23.2,280,"79030233","1"
"40","Friesian","3",10,680,"79030246","1"
"41","Friesian","3",19.8,110,"79030255","1"
"42","Friesian","3",22.4,100,"79030270","1"
"43","Friesian","3",21.2,110,"79030288","1"
"44","Friesian","2",17.2,270,"79030296","0"
"45","Friesian","2",17.6,200,"79030317","1"
"46","Friesian","2",18.4,20,"79030321","1"
"47","Friesian","2",12.8,160,"79030322","0"
"48","Friesian","2",23.6,40,"79030326","1"
"49","Friesian","2",27.6,30,"79030328","0"
"50","Friesian","2",18,110,"79030331","1"
"51","Friesian","2",22,110,"79030336","1"
"52","Friesian","2",20.2,110,"79030337","0"
"53","Friesian","2",21.2,100,"79030339","1"
"54","Friesian","2",17,2310,"79030341","0"
"55","Friesian","2",19.6,280,"79030345","1"
"56","Friesian","2",23.6,290,"79030349","1"
"57","Friesian","2",27.2,30,"79030361","0"
"58","Guernsey","1",8.2,150,"79030362","1"
"59","Friesian","2",26.6,570,"79030364","1"
"60","Friesian","1",17.4,130,"79030365","1"
"61","Guernsey","1",19.2,20,"79030366","1"
"62","Guernsey","1",10.8,80,"79030373","1"
"63","Friesian","1",20.2,180,"79030374","0"
"64","Friesian","1",27,70,"79030375","1"
"65","Friesian","1",19.2,140,"79030385","1"
"66","Friesian","1",10.4,430,"79030386","0"
"67","Friesian","1",23.2,30,"79030389","1"
"68","Friesian","2",12.4,1510,"79030393","1"
"69","Friesian","1",22,100,"79030394","0"
"70","Friesian","1",24.4,90,"79030400","1"
"71","Friesian","1",24,240,"79030401","0"
"72","Friesian","1",21.4,20,"79030405","0"
"73","Friesian","1",21.6,30,"79030410","1"
"74","Friesian","1",27.8,70,"79030413","1"
"75","Friesian","1",27.2,10,"79030415","0"
"76","Jersey","1",18,50,"79030416","0"
"77","Friesian","1",23.2,100,"79030417","1"
"78","Friesian","1",24,30,"79030422","0"
"79","Friesian","1",12.6,110,"79030443","0"
"80","Friesian","1",9.8,80,"79030455","1"
"81","Jersey","3",15.4,50,"79160381","1"
"82","Jersey","6",19.1,10,"80050400","1"
"83","Friesian","2",23,140,"80950566","1"
"84","Jersey","8",16.2,290,"81870316","0"
"85","Guernsey","4",27.3,4330,"83300590","1"
"86","Holstein-Friesian","3",17.2,220,"83300597","0"
"87","Holstein-Friesian","4",32.3,1060,"83300622","1"
"88","Holstein-Friesian","3",33,150,"83300623","0"
"89","Holstein-Friesian","3",20.6,110,"83300631","1"
"90","Jersey","3",6.1,240,"83300633","0"
"91","Jersey","3",23.5,650,"83300645","1"
"92","Jersey","3",28.7,10,"83300652","1"
"93","Guernsey","2",22.2,30,"83300653","1"
"94","Holstein-Friesian","2",4.7,840,"83300661","1"
"95","Holstein-Friesian","3",25.4,40,"83300664","1"
"96","Holstein-Friesian","2",8,1380,"83300668","1"
"97","Holstein-Friesian","2",12.1,260,"83300676","1"
"98","Holstein-Friesian","2",16.2,40,"83300687","1"
"99","Guernsey","2",14,70,"83300693","1"
"100","Jersey","2",19.8,1,"83300694","0"
"101","Holstein-Friesian","2",12,240,"83300702","1"
"102","Holstein-Friesian","2",21.2,1100,"83300703","1"
"103","Holstein-Friesian","2",28.2,160,"83300708","1"
"104","Guernsey","2",26.8,40,"83300710","1"
"105","Holstein-Friesian","2",22.8,70,"83300712","1"
"106","Holstein-Friesian","2",31.1,150,"83300715","0"
"107","Jersey","2",22.4,1,"83300721","1"
"108","Holstein-Friesian","2",26.6,10,"83300723","0"
"109","Holstein-Friesian","1",22.5,860,"83300724","1"
"110","Jersey","1",18.2,10,"83300729","0"
"111","Jersey","1",4,200,"83300730","1"
